sku,date,day_ahead,arima_forecast,price,inventory_level
S004_P0017,2024-01-06,5,123.1,20.61,100
S004_P0017,2024-01-07,6,127.28,20.61,100
S004_P0017,2024-01-08,7,143.11,20.61,100
S004_P0018,2024-01-02,1,81.44,82.97,83
S004_P0018,2024-01-03,2,94.91,82.97,83
S004_P0018,2024-01-04,3,111.02,82.97,83
S004_P0018,2024-01-05,4,123.4,82.97,83
S004_P0018,2024-01-06,5,111.33,82.97,83
S004_P0018,2024-01-07,6,84.56,82.97,83
S004_P0018,2024-01-08,7,97.81,82.97,83
S004_P0019,2024-01-02,1,91.83,61.04,65
S004_P0019,2024-01-03,2,103.57,61.04,65
S004_P0019,2024-01-04,3,109.39,61.04,65
S004_P0019,2024-01-05,4,67.48,61.04,65
S004_P0019,2024-01-06,5,91.15,61.04,65
S004_P0019,2024-01-07,6,81.34,61.04,65
S004_P0019,2024-01-08,7,90.88,61.04,65
S004_P0020,2024-01-02,1,136.57,32.87,249
S004_P0020,2024-01-03,2,158.74,32.87,249
S004_P0020,2024-01-04,3,134.57,32.87,249
S004_P0020,2024-01-05,4,136.84,32.87,249
S004_P0020,2024-01-06,5,164.51,32.87,249
S004_P0020,2024-01-07,6,166.47,32.87,249
S004_P0020,2024-01-08,7,152.75,32.87,249
S005_P0001,2024-01-02,1,150.39,99.33,300
S005_P0001,2024-01-03,2,121.06,99.33,300
S005_P0001,2024-01-04,3,129.48,99.33,300
S005_P0001,2024-01-05,4,127.28,99.33,300
S005_P0001,2024-01-06,5,130.71,99.33,300
S005_P0001,2024-01-07,6,141.92,99.33,300
S005_P0001,2024-01-08,7,133.09,99.33,300
S005_P0002,2024-01-02,1,188.72,34.96,253
S005_P0002,2024-01-03,2,185.79,34.96,253
S005_P0002,2024-01-04,3,181.7,34.96,253
S005_P0002,2024-01-05,4,189.96,34.96,253
S005_P0002,2024-01-06,5,181.27,34.96,253
S005_P0002,2024-01-07,6,177.29,34.96,253
S005_P0002,2024-01-08,7,184.02,34.96,253
S005_P0003,2024-01-02,1,142.11,24.17,98
S005_P0003,2024-01-03,2,126.96,24.17,98
S005_P0003,2024-01-04,3,121.34,24.17,98
S005_P0003,2024-01-05,4,115.23,24.17,98
S005_P0003,2024-01-06,5,129.86,24.17,98
S005_P0003,2024-01-07,6,122.77,24.17,98
S005_P0003,2024-01-08,7,126.36,24.17,98
S005_P0004,2024-01-02,1,140.42,77.29,158
S005_P0004,2024-01-03,2,122.82,77.29,158
S005_P0004,2024-01-04,3,114.73,77.29,158
S005_P0004,2024-01-05,4,100.17,77.29,158
S005_P0004,2024-01-06,5,101.82,77.29,158
S005_P0004,2024-01-07,6,114.8,77.29,158
S005_P0004,2024-01-08,7,114.92,77.29,158
S005_P0005,2024-01-02,1,227.34,96.72,372
S005_P0005,2024-01-03,2,276.85,96.72,372
S005_P0005,2024-01-04,3,303.4,96.72,372
S005_P0005,2024-01-05,4,273.2,96.72,372
S005_P0005,2024-01-06,5,238.15,96.72,372
S005_P0005,2024-01-07,6,243.75,96.72,372
S005_P0005,2024-01-08,7,261.86,96.72,372
S005_P0006,2024-01-02,1,157.56,71.3,491
S005_P0006,2024-01-03,2,135.49,71.3,491
S005_P0006,2024-01-04,3,147.39,71.3,491
S005_P0006,2024-01-05,4,153.57,71.3,491
S005_P0006,2024-01-06,5,179.61,71.3,491
S005_P0006,2024-01-07,6,160.51,71.3,491
S005_P0006,2024-01-08,7,159.07,71.3,491
S005_P0007,2024-01-02,1,89.75,62.12,59
S005_P0007,2024-01-03,2,85.82,62.12,59
S005_P0007,2024-01-04,3,73.75,62.12,59
S005_P0007,2024-01-05,4,78.49,62.12,59
S005_P0007,2024-01-06,5,80.41,62.12,59
S005_P0007,2024-01-07,6,72.61,62.12,59
S005_P0007,2024-01-08,7,79.32,62.12,59
S005_P0008,2024-01-02,1,186.41,63.42,409
S005_P0008,2024-01-03,2,179.77,63.42,409
S005_P0008,2024-01-04,3,168.38,63.42,409
S005_P0008,2024-01-05,4,177.04,63.42,409
S005_P0008,2024-01-06,5,163.92,63.42,409
S005_P0008,2024-01-07,6,195.28,63.42,409
S005_P0008,2024-01-08,7,178.72,63.42,409
S005_P0009,2024-01-02,1,170.0,87.7,319
S005_P0009,2024-01-03,2,159.32,87.7,319
S005_P0009,2024-01-04,3,148.77,87.7,319
S005_P0009,2024-01-05,4,169.67,87.7,319
S005_P0009,2024-01-06,5,141.0,87.7,319
S005_P0009,2024-01-07,6,164.59,87.7,319
S005_P0009,2024-01-08,7,158.53,87.7,319
S005_P0010,2024-01-02,1,133.97,19.2,308
S005_P0010,2024-01-03,2,139.34,19.2,308
S005_P0010,2024-01-04,3,157.3,19.2,308
S005_P0010,2024-01-05,4,154.69,19.2,308
S005_P0010,2024-01-06,5,164.66,19.2,308
S005_P0010,2024-01-07,6,155.56,19.2,308
S005_P0010,2024-01-08,7,151.19,19.2,308
S005_P0011,2024-01-02,1,66.7,86.09,156
S005_P0011,2024-01-03,2,114.74,86.09,156
S005_P0011,2024-01-04,3,123.21,86.09,156
S005_P0011,2024-01-05,4,69.0,86.09,156
S005_P0011,2024-01-06,5,87.98,86.09,156
S005_P0011,2024-01-07,6,97.72,86.09,156
S005_P0011,2024-01-08,7,90.09,86.09,156
S005_P0012,2024-01-02,1,129.6,36.94,495
S005_P0012,2024-01-03,2,148.17,36.94,495
S005_P0012,2024-01-04,3,149.47,36.94,495
S005_P0012,2024-01-05,4,173.47,36.94,495
S005_P0012,2024-01-06,5,157.39,36.94,495
S005_P0012,2024-01-07,6,180.45,36.94,495
S005_P0012,2024-01-08,7,157.69,36.94,495
S005_P0013,2024-01-02,1,259.88,32.05,389
S005_P0013,2024-01-03,2,239.25,32.05,389
S005_P0013,2024-01-04,3,247.62,32.05,389
S005_P0013,2024-01-05,4,238.68,32.05,389
S005_P0013,2024-01-06,5,239.28,32.05,389
S005_P0013,2024-01-07,6,251.05,32.05,389
S005_P0013,2024-01-08,7,246.05,32.05,389
S005_P0014,2024-01-02,1,148.64,66.5,328
S005_P0014,2024-01-03,2,159.34,66.5,328
S005_P0014,2024-01-04,3,132.75,66.5,328
S005_P0014,2024-01-05,4,130.51,66.5,328
S005_P0014,2024-01-06,5,137.6,66.5,328
S005_P0014,2024-01-07,6,148.9,66.5,328
S005_P0014,2024-01-08,7,142.72,66.5,328
S005_P0015,2024-01-02,1,134.17,83.26,408
S005_P0015,2024-01-03,2,154.56,83.26,408
S005_P0015,2024-01-04,3,134.87,83.26,408
S005_P0015,2024-01-05,4,137.89,83.26,408
S005_P0015,2024-01-06,5,150.48,83.26,408
S005_P0015,2024-01-07,6,182.28,83.26,408
S005_P0015,2024-01-08,7,147.55,83.26,408
S005_P0016,2024-01-02,1,90.9,73.73,96
S005_P0016,2024-01-03,2,80.69,73.73,96
S005_P0016,2024-01-04,3,91.57,73.73,96
S005_P0016,2024-01-05,4,64.77,73.73,96
S005_P0016,2024-01-06,5,68.13,73.73,96
S005_P0016,2024-01-07,6,69.3,73.73,96
S005_P0016,2024-01-08,7,76.04,73.73,96
S005_P0017,2024-01-02,1,140.78,82.57,313
S005_P0017,2024-01-03,2,145.83,82.57,313
S005_P0017,2024-01-04,3,147.82,82.57,313
S005_P0017,2024-01-05,4,137.96,82.57,313
S005_P0017,2024-01-06,5,131.11,82.57,313
S005_P0017,2024-01-07,6,122.61,82.57,313
S005_P0017,2024-01-08,7,137.9,82.57,313
S005_P0018,2024-01-02,1,117.35,11.11,278
S005_P0018,2024-01-03,2,79.07,11.11,278
S005_P0018,2024-01-04,3,91.42,11.11,278
S005_P0018,2024-01-05,4,80.0,11.11,278
S005_P0018,2024-01-06,5,90.7,11.11,278
S005_P0018,2024-01-07,6,82.81,11.11,278
S005_P0018,2024-01-08,7,90.11,11.11,278
S005_P0019,2024-01-02,1,162.99,53.14,374
S005_P0019,2024-01-03,2,129.8,53.14,374
S005_P0019,2024-01-04,3,114.93,53.14,374
S005_P0019,2024-01-05,4,120.6,53.14,374
S005_P0019,2024-01-06,5,139.8,53.14,374
S005_P0019,2024-01-07,6,154.99,53.14,374
S005_P0019,2024-01-08,7,136.63,53.14,374
S005_P0020,2024-01-02,1,99.82,78.39,117
S005_P0020,2024-01-03,2,108.12,78.39,117
S005_P0020,2024-01-04,3,116.28,78.39,117
S005_P0020,2024-01-05,4,96.11,78.39,117
S005_P0020,2024-01-06,5,77.12,78.39,117
S005_P0020,2024-01-07,6,84.69,78.39,117
S005_P0020,2024-01-08,7,95.94,78.39,117
